CERT,ASSET_slope,EQV_slope,RBC1AAJ_slope,NCLNLSR_slope,NPERFV_slope,EEFFR_slope,ROA_slope,LNLSDEPR_slope,EQV_d2y,ROA_d2y,asset_yoy,asset_accel,runway_q,cur_asset,n_quarters,cre_g36,capital_building,credit_turning,growth_accelerating,runway_to_10b,margin_eroding,cre_growth_36m
418,12995.302,-0.371,-0.338,-0.06,-0.047,-0.03,-0.002,1.673,-1.452,-0.249,0.082,0.003,195.66,211748.0,20,-0.348,False,False,False,False,False,False
420,-1693.269,-0.95,-0.362,-0.281,-0.052,21.826,-1.519,0.557,-4.72,0.389,-0.075,-0.095,,31702.0,20,-0.157,False,False,False,False,True,False
421,8693.107,-0.291,0.022,-0.092,-0.049,1.373,-0.084,0.641,0.649,0.164,0.074,0.044,198.634,287587.0,20,-0.225,False,False,False,False,False,False
428,5082.099,0.686,0.75,0.011,0.003,-3.054,0.258,1.16,3.11,0.512,0.093,0.047,205.347,104916.0,20,0.542,True,False,False,False,False,True
432,-258.066,0.404,0.391,0.481,0.243,-0.821,0.11,4.258,-0.041,-0.64,0.018,-0.036,945.968,140048.0,20,0.804,False,True,False,False,False,True
444,36898.833,0.265,0.298,-0.015,-0.01,-0.397,0.042,2.254,1.172,0.688,0.108,0.006,105.965,662457.0,20,0.416,False,False,False,False,False,False
445,13539.221,-0.048,0.393,0.274,0.196,1.625,-0.055,2.446,1.25,0.242,0.028,-0.011,412.73,601730.0,20,1.867,False,True,False,False,False,True
485,16048.779,-0.038,-0.016,0.03,0.013,4.054,-0.225,0.925,2.124,-0.293,-0.048,-0.031,,321873.0,20,-0.612,False,False,False,False,True,False
492,6274.286,0.495,0.445,-0.058,-0.023,-0.256,-0.052,-0.835,0.047,-0.728,0.17,0.131,120.438,89193.0,20,9.368,False,False,True,False,False,True
496,31400.878,-0.007,0.111,-0.101,-0.079,1.009,-0.075,1.198,2.215,0.607,0.072,-0.025,191.151,357835.0,20,0.252,False,False,False,False,False,False
501,9793.42,0.138,0.116,-0.249,-0.172,-1.628,0.077,4.183,0.826,1.052,0.036,-0.114,458.355,172888.0,20,0.181,False,False,False,False,False,False
504,2059.636,-0.343,0.299,0.001,-0.001,5.792,-0.289,-3.127,,,,,,124575.0,10,,False,False,False,False,True,False
505,1093.525,1.351,1.216,-0.661,-0.484,-0.45,0.088,2.635,1.684,0.017,0.024,-0.035,712.212,151313.0,20,-0.021,True,False,False,False,False,False
526,579.227,0.87,0.896,0.0,0.0,-4.179,0.227,-0.305,0.488,-0.482,0.14,0.061,172.099,35509.0,20,1.04,False,False,True,False,False,True
529,-3838.89,0.363,0.318,0.012,0.03,-1.188,0.123,1.976,0.612,0.66,0.015,0.014,1068.591,207011.0,20,0.177,False,False,False,False,False,False
597,87317.474,0.577,0.713,-0.034,-0.004,-0.106,-0.098,5.59,4.015,0.408,-0.017,-0.022,,2748374.0,20,0.406,True,False,False,False,False,False
609,993953.194,0.495,0.135,0.077,0.084,-1.348,-0.116,5.204,1.403,0.449,0.066,0.01,8.798,8696575.0,20,0.332,True,False,False,True,False,False
618,-3981.94,1.338,0.951,0.077,0.05,-7.235,0.408,4.316,2.784,0.817,0.135,0.167,108.602,322404.0,20,0.211,True,False,True,False,False,False
622,405591.411,0.354,0.424,-0.061,-0.01,-3.505,0.116,2.49,1.061,-0.237,0.106,0.088,3.448,9168378.0,20,0.522,False,False,True,True,False,True
659,196227.847,0.413,0.336,0.17,0.129,2.242,-0.097,2.702,3.126,1.232,-0.008,-0.015,,6255437.0,20,0.304,True,True,False,False,False,False
660,17071.095,0.64,0.435,0.054,0.037,2.14,-0.049,2.993,1.662,0.236,0.073,0.042,98.824,1763293.0,20,0.147,True,False,False,False,False,False
686,209671.299,0.267,-0.245,0.155,0.138,-1.703,0.11,4.46,1.43,0.629,0.072,0.052,101.835,1714230.0,20,1.252,False,True,False,False,False,True
698,122923.474,-0.041,0.067,-0.02,-0.013,3.066,-0.122,2.429,1.127,-0.215,0.226,0.175,24.158,2915509.0,20,1.365,False,False,True,False,True,True
713,720003.537,0.426,0.189,0.052,0.036,-0.525,0.022,1.879,2.253,0.385,0.025,-0.685,95.417,5576514.0,20,0.894,True,False,False,False,False,True
737,16537.868,0.294,0.25,0.0,0.011,-1.091,0.061,2.806,2.178,0.683,0.019,-0.014,785.755,261196.0,20,0.287,False,False,False,False,False,False
741,-10280.114,2.199,1.45,0.0,0.0,13.392,-0.344,10.272,,,,,,58360.0,6,,False,False,False,False,True,False
763,16645.717,0.33,0.499,0.035,0.022,-1.39,0.107,4.475,1.27,0.375,0.046,-0.038,222.633,814016.0,20,0.761,False,False,False,False,False,True
769,20228.394,0.016,-0.167,0.074,0.035,0.686,-0.078,1.062,0.855,0.242,0.027,-0.037,464.917,477081.0,20,0.256,False,False,False,False,False,False
823,2537.483,0.924,0.964,0.013,-0.062,-2.074,0.156,3.553,3.187,0.252,0.03,0.021,389.742,583253.0,20,0.303,True,False,False,False,False,False
845,-1013.447,1.274,1.016,0.136,0.188,0.524,-0.011,-0.634,2.867,-0.198,0.039,0.058,342.386,370529.0,20,0.004,True,True,False,False,False,False
847,1082.662,0.009,-0.044,-0.659,-0.354,-0.061,-0.01,0.879,0.674,0.392,0.073,0.062,271.1,82171.0,20,0.448,False,False,False,False,False,False
855,10152.117,0.532,0.581,0.365,0.2,-3.478,0.034,2.876,1.567,-0.395,0.107,0.031,168.395,136483.0,20,-0.514,True,True,True,False,False,False
861,21189.817,-0.822,-0.229,-0.105,0.023,3.276,-0.208,5.831,2.141,0.449,0.056,0.007,234.808,407088.0,20,0.78,False,False,False,False,True,True
872,2607.864,0.339,0.332,-0.28,-0.144,-5.641,0.684,2.77,,,,,,264588.0,18,,False,False,False,False,False,False
